S value, No. of Comparisons
5,18261992
10,18423732
15,19142531
20,19442856
25,19442856
30,20774243
35,22317781
40,22317781
45,22317781
50,22317781
55,22317781
60,22317781
65,28976722
70,28976722
75,28976722
80,28976722
85,28976722
90,28976722
95,28976722
100,28976722
