V,Array with Adjacency Matrix Number of Comparisons,MinHeap with Adjacency List Number of Comparisons,Difference (array - heap)
10,100,51,49
15,225,135,90
20,400,321,79
25,625,548,77
30,900,783,117
35,1225,1119,106
40,1600,1799,-199
45,2025,2498,-473
50,2500,2711,-211
55,3025,3682,-657
60,3600,4291,-691
65,4225,5357,-1132
70,4900,5824,-924
75,5625,6727,-1102
80,6400,7949,-1549
85,7225,10121,-2896
90,8100,10736,-2636
95,9025,11977,-2952
100,10000,13198,-3198
105,11025,13634,-2609
110,12100,16936,-4836
115,13225,18020,-4795
120,14400,20073,-5673
125,15625,20736,-5111
130,16900,22202,-5302
135,18225,23571,-5346
140,19600,26556,-6956
145,21025,28706,-7681
150,22500,30780,-8280
155,24025,32693,-8668
160,25600,33878,-8278
165,27225,37074,-9849
170,28900,40749,-11849
175,30625,42161,-11536
180,32400,46189,-13789
185,34225,46887,-12662
190,36100,46708,-10608
195,38025,53675,-15650
200,40000,55367,-15367
